match_id,season_year,competition,date,home,away,home_score,away_score,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
28778,2526,PL,2025-08-15,LIV,BOU,4,2,29,3.9031,0.7697,60-75_to_75-90plus,4,0.3152,0.3886,0.453,0.0956,0.3152,0.3886,-0.0734,0.0,0.0,0.0,1.0166,0.3896,0.627,0.4012,0.1429,0.2583,0.144,0.5563,-0.4123,0.453,0.0956,0.3575
28779,2526,PL,2025-08-16,AVL,NEW,0,0,19,1.7196,0.9363,0-15_to_15-30,0,0.0,1.049,0.0635,0.1302,0.0,1.049,-1.049,0.0,0.1126,-0.1126,0.0,0.0,0.0,0.1752,0.0,0.1752,0.08,0.1091,-0.0292,0.0635,0.1302,-0.0667
28780,2526,PL,2025-08-16,BRI,FLH,1,1,17,2.3568,0.5007,30-45_to_45-60,3,0.0193,0.0947,0.369,0.5238,0.0193,0.0947,-0.0754,0.103,0.0,0.103,0.0462,0.0419,0.0043,0.7612,0.2562,0.505,0.1414,0.0,0.1414,0.369,0.5238,-0.1548
28781,2526,PL,2025-08-16,SUN,WHU,3,0,22,1.2833,0.4826,0-15_to_15-30,3,0.3295,0.0803,0.0925,0.221,0.3295,0.0803,0.2492,0.0,0.2334,-0.2334,0.1282,0.0242,0.104,0.1093,0.0,0.1093,0.0648,0.0,0.0648,0.0925,0.221,-0.1285
28782,2526,PL,2025-08-16,TOT,BUR,3,0,30,2.7889,0.6405,30-45_to_45-60,2,0.2921,0.0448,0.0908,0.0,0.2921,0.0448,0.2473,0.0,0.2798,-0.2798,0.0326,0.0676,-0.035,0.8571,0.2516,0.6055,0.7664,0.1062,0.6602,0.0908,0.0,0.0908
28783,2526,PL,2025-08-16,WOL,MCI,0,4,24,2.8254,1.174,30-45_to_45-60,0,0.0,0.0,0.1181,0.2848,0.0,0.0,0.0,0.1131,0.7866,-0.6735,0.0,1.0698,-1.0698,0.1795,0.0753,0.1042,0.1088,0.0893,0.0195,0.1181,0.2848,-0.1667
28784,2526,PL,2025-08-17,CHE,CRY,0,0,31,2.4141,0.5517,15-30_to_30-45,4,0.024,0.0433,0.4852,0.041,0.024,0.0433,-0.0193,0.4426,0.3233,0.1193,0.0,0.4324,-0.4324,0.1397,0.1892,-0.0494,0.285,0.0083,0.2767,0.4852,0.041,0.4442
28785,2526,PL,2025-08-17,NOT,BRE,3,1,21,3.0915,1.0638,60-75_to_75-90plus,0,0.4809,0.0,0.0,0.7612,0.4809,0.0,0.4809,0.0817,0.057,0.0248,0.3014,0.1982,0.1032,0.3778,0.1055,0.2723,0.5153,0.2126,0.3027,0.0,0.7612,-0.7612
28786,2526,PL,2025-08-17,MUN,ARS,0,1,31,2.7157,0.9364,0-15_to_15-30,4,0.0865,0.8443,0.4018,0.1945,0.0865,0.8443,-0.7578,0.2372,0.0585,0.1786,0.3289,0.1462,0.1827,0.0633,0.033,0.0303,0.2677,0.0539,0.2139,0.4018,0.1945,0.2072
28787,2526,PL,2025-08-18,LED,EVE,1,0,28,3.0749,0.7311,60-75_to_75-90plus,0,0.4645,0.0,1.3207,0.6217,0.4645,0.0,0.4645,0.0903,0.0,0.0903,0.3638,0.0,0.3638,0.1463,0.0355,0.1108,0.0,0.0321,-0.0321,1.3207,0.6217,0.699
28788,2526,PL,2025-08-22,WHU,CHE,1,5,24,4.9544,1.2299,45-60_to_60-75,1,0.0152,0.5353,0.6591,0.0529,0.0152,0.5353,-0.5201,0.0075,0.5372,-0.5297,0.0757,0.7091,-0.6334,0.0403,1.6153,-1.575,0.1808,0.5259,-0.3451,0.6591,0.0529,0.6061
28789,2526,PL,2025-08-23,MCI,TOT,0,2,22,2.5305,0.8229,15-30_to_30-45,4,0.0428,0.0831,0.1445,0.2502,0.0428,0.0831,-0.0403,0.4473,0.0,0.4473,0.0,0.3756,-0.3756,0.5957,0.5063,0.0894,0.0171,0.0677,-0.0506,0.1445,0.2502,-0.1057
28790,2526,PL,2025-08-23,BRE,AVL,1,0,26,2.3568,0.8472,0-15_to_15-30,0,1.0511,0.0,0.1061,0.2021,1.0511,0.0,1.0511,0.2193,0.0154,0.2039,0.0,0.2126,-0.2126,0.0,0.4158,-0.4158,0.0,0.1345,-0.1345,0.1061,0.2021,-0.096
28791,2526,PL,2025-08-23,BUR,SUN,2,0,16,2.1251,0.8258,0-15_to_15-30,0,0.0175,0.8433,0.5365,0.2308,0.0175,0.8433,-0.8258,0.0,0.0,0.0,0.0364,0.0213,0.0151,0.4134,0.0259,0.3875,0.0,0.0,0.0,0.5365,0.2308,0.3057
28792,2526,PL,2025-08-23,BOU,WOL,1,0,20,2.158,0.8157,0-15_to_15-30,2,0.84,0.0831,0.1806,0.0431,0.84,0.0831,0.7569,0.0,0.0588,-0.0588,0.0,0.0134,-0.0134,0.5685,0.0765,0.492,0.1955,0.0985,0.0971,0.1806,0.0431,0.1375
28793,2526,PL,2025-08-23,ARS,LED,5,0,21,2.9238,0.8356,30-45_to_45-60,0,0.0653,0.0242,0.7855,0.0,0.0653,0.0242,0.0411,0.4849,0.1325,0.3524,0.1632,0.0,0.1632,0.9988,0.0,0.9988,0.2693,0.0,0.2693,0.7855,0.0,0.7855
28794,2526,PL,2025-08-24,CRY,NOT,1,1,17,2.4318,0.6856,60-75_to_75-90plus,4,0.1129,0.1249,0.0,0.6856,0.1129,0.1249,-0.0121,0.0315,0.0584,-0.0269,0.618,0.0918,0.5262,0.3395,0.3691,-0.0296,0.0,0.0,0.0,0.0,0.6856,-0.6856
28795,2526,PL,2025-08-24,EVE,BRI,2,0,24,3.9029,0.3801,60-75_to_75-90plus,5,0.0566,0.0288,0.3847,0.8263,0.0566,0.0288,0.0278,0.7122,0.675,0.0372,0.1169,0.0896,0.0273,0.5476,0.4035,0.1441,0.0,0.0615,-0.0615,0.3847,0.8263,-0.4416
28796,2526,PL,2025-08-24,FLH,MUN,1,1,24,3.2089,0.6983,60-75_to_75-90plus,3,0.3177,0.5826,0.0739,0.0933,0.3177,0.5826,-0.2649,0.1334,0.0,0.1334,0.2505,0.7612,-0.5107,0.2085,0.109,0.0995,0.6789,0.0,0.6789,0.0739,0.0933,-0.0194
28797,2526,PL,2025-08-25,NEW,LIV,2,3,15,2.61,1.175,0-15_to_15-30,1,0.0,0.0327,0.4311,0.3935,0.0,0.0327,-0.0327,1.1423,0.0,1.1423,0.0462,0.0162,0.03,0.3282,0.2041,0.1241,0.0156,0.0,0.0156,0.4311,0.3935,0.0375
