match_id,season_year,date,stage,home,away,home_score,away_score,home_pens,away_pens,extra_time,penalties,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
1,2026,2026-06-11,Group Stage,MEX,RSA,2,0,,,False,False,21,1.5398,0.5451,60-75_to_75-90plus,0,0.3813,0.0,0.0,0.0331,0.3813,0.0,0.3813,0.0291,0.0,0.0291,0.1683,0.0428,0.1255,0.3435,0.0297,0.3138,0.512,0.0,0.512,0.0,0.0331,-0.0331
2,2026,2026-06-12,Group Stage,KOR,CZE,2,1,,,False,False,26,3.1729,0.7737,0-15_to_15-30,2,0.1532,0.0,0.4206,0.3469,0.1532,0.0,0.1532,0.0,0.6205,-0.6205,0.1551,0.027,0.1281,0.7586,0.3339,0.4247,0.3571,0.0,0.3571,0.4206,0.3469,0.0737
3,2026,2026-06-12,Group Stage,CAN,BIH,1,1,,,False,False,24,2.4217,0.342,15-30_to_30-45,5,0.0,0.1154,0.3034,0.01,0.0,0.1154,-0.1154,0.4602,0.6987,-0.2385,0.1198,0.0163,0.1035,0.3819,0.2023,0.1796,0.1137,0.0,0.1137,0.3034,0.01,0.2934
4,2026,2026-06-13,Group Stage,USA,PAR,4,1,,,False,False,27,1.8576,0.6239,60-75_to_75-90plus,1,0.0365,0.0856,0.3876,0.0,0.0365,0.0856,-0.0491,0.0,0.0,0.0,0.6109,0.0,0.6109,0.2514,0.1201,0.1313,0.0646,0.3009,-0.2363,0.3876,0.0,0.3876
5,2026,2026-06-13,Group Stage,QAT,SUI,1,1,,,False,False,35,4.1634,1.1127,30-45_to_45-60,2,0.3124,0.5916,0.1882,0.4827,0.3124,0.5916,-0.2792,0.0,1.0385,-1.0385,0.1389,0.1491,-0.0102,0.0,1.1229,-1.1229,0.0,0.1391,-0.1391,0.1882,0.4827,-0.2945
6,2026,2026-06-13,Group Stage,BRA,MAR,1,1,,,False,False,28,2.8582,1.0143,0-15_to_15-30,4,0.5557,0.2717,0.2777,0.2478,0.5557,0.2717,0.284,0.1036,0.8339,-0.7303,0.096,0.1746,-0.0786,0.2972,0.0,0.2972,0.0,0.0,0.0,0.2777,0.2478,0.0299
7,2026,2026-06-14,Group Stage,HAI,SCO,0,1,,,False,False,26,2.4038,1.3082,15-30_to_30-45,1,0.1571,0.1596,0.5036,0.0,0.1571,0.1596,-0.0025,0.0,0.8016,-0.8016,0.5497,0.0431,0.5066,0.0,0.0379,-0.0379,0.0315,0.1197,-0.0882,0.5036,0.0,0.5036
8,2026,2026-06-14,Group Stage,AUS,TUR,2,0,,,False,False,40,2.181,0.6028,0-15_to_15-30,4,0.0,0.1911,0.036,0.3944,0.0,0.1911,-0.1911,0.5084,0.0967,0.4117,0.032,0.1335,-0.1015,0.1887,0.3219,-0.1332,0.0,0.2783,-0.2783,0.036,0.3944,-0.3584
9,2026,2026-06-14,Group Stage,GER,CUW,7,1,,,False,False,35,4.7069,0.9543,30-45_to_45-60,0,0.6355,0.0,0.7841,0.0832,0.6355,0.0,0.6355,0.0591,0.107,-0.0479,0.5631,0.0153,0.5478,1.5282,0.0261,1.5021,0.7272,0.1781,0.5491,0.7841,0.0832,0.7009
10,2026,2026-06-14,Group Stage,NED,JPN,2,2,,,False,False,23,1.5008,0.3954,15-30_to_30-45,2,0.0634,0.0,0.1815,0.3424,0.0634,0.0,0.0634,0.0,0.1221,-0.1221,0.3302,0.0569,0.2733,0.1326,0.0964,0.0362,0.1568,0.0185,0.1383,0.1815,0.3424,-0.1609
11,2026,2026-06-14,Group Stage,CIV,ECU,1,0,,,False,False,27,2.7139,0.5681,30-45_to_45-60,3,0.0,0.062,0.2845,0.3643,0.0,0.062,-0.062,0.3836,0.0556,0.328,0.3638,0.4155,-0.0517,0.5966,0.0802,0.5164,0.0557,0.0521,0.0036,0.2845,0.3643,-0.0798
12,2026,2026-06-15,Group Stage,SWE,TUN,5,1,,,False,False,19,1.6422,0.2364,0-15_to_15-30,0,0.2063,0.0,0.3636,0.0087,0.2063,0.0,0.2063,0.0,0.0301,-0.0301,0.1783,0.0616,0.1167,0.3895,0.18,0.2095,0.2241,0.0,0.2241,0.3636,0.0087,0.3549
13,2026,2026-06-15,Group Stage,ESP,CPV,0,0,,,False,False,33,2.3069,0.6608,45-60_to_60-75,0,0.0,0.0,0.5002,0.1662,0.0,0.0,0.0,0.145,0.0135,0.1315,0.5872,0.0246,0.5626,0.7655,0.0,0.7655,0.1047,0.0,0.1047,0.5002,0.1662,0.334
14,2026,2026-06-15,Group Stage,BEL,EGY,1,1,,,False,False,30,2.4038,0.7616,30-45_to_45-60,6,0.0849,0.0,0.5738,0.1126,0.0849,0.0,0.0849,0.0,0.0717,-0.0717,0.2515,0.0243,0.2272,0.1861,0.7205,-0.5344,0.2167,0.1617,0.055,0.5738,0.1126,0.4612
15,2026,2026-06-15,Group Stage,KSA,URU,1,1,,,False,False,36,2.7413,1.3523,30-45_to_45-60,2,0.0,0.1102,0.0635,0.9486,0.0,0.1102,-0.1102,0.0299,0.1003,-0.0704,0.9967,0.0,0.9967,0.0,0.3556,-0.3556,0.0,0.1365,-0.1365,0.0635,0.9486,-0.8851
